date,ticker,adj_close
2016-01-26,F,10.853172075395
2016-01-25,F,10.605301913803
2016-01-22,F,10.746942006141
2016-01-21,F,10.631859431117
2016-01-20,F,10.534481867634
2016-01-19,F,10.57874439649
2016-01-15,F,10.596449408032
2016-01-14,F,10.791204534997
2016-01-13,F,10.800057040768
2016-01-12,F,11.375469915891
2016-01-11,F,11.304649869722
2016-01-08,F,11.101042236986
2016-01-07,F,11.242682329324
2016-01-06,F,11.60563506594
2016-01-05,F,12.145637917978
2016-01-04,F,12.366950562257
2015-12-31,F,12.47318063151
2015-12-30,F,12.544000677679
2015-12-29,F,12.597115712306
2015-12-28,F,12.55285318345
2015-12-24,F,12.667935758475
2015-12-23,F,12.71219828733
2015-12-22,F,12.570558194992
2015-12-21,F,12.15449042375
2015-12-18,F,12.216457964147
2015-12-17,F,12.375803068028
2015-12-16,F,12.71219828733
2015-12-15,F,12.278425504545
2015-12-14,F,12.057112860267
2015-12-11,F,12.07481787181
2015-12-10,F,12.358098056485
2015-12-09,F,12.296130516088
2015-12-08,F,12.366950562257
2015-12-07,F,12.499738148823
2015-12-04,F,12.570558194992
2015-12-03,F,12.375803068028
2015-12-02,F,12.623673229619
2015-12-01,F,12.889248402753
2015-11-30,F,12.685640770017
2015-11-27,F,12.862690885439
2015-11-25,F,12.880395896982
2015-11-24,F,12.880395896982
2015-11-23,F,12.880395896982
2015-11-20,F,12.924658425837
2015-11-19,F,12.898100908524
2015-11-18,F,12.800723345041
2015-11-17,F,12.526295666137
2015-11-16,F,12.428918102654
2015-11-13,F,12.322688033401
2015-11-12,F,12.428918102654
2015-11-11,F,12.667935758475
2015-11-10,F,12.641378241161
2015-11-09,F,12.685640770017
2015-11-06,F,12.853838379668
2015-11-05,F,12.898100908524
2015-11-04,F,12.968920954693
2015-11-03,F,13.110561047031
2015-11-02,F,13.057446012404
2015-10-30,F,13.110561047031
2015-10-29,F,13.039741000862
2015-10-28,F,13.252201139369
2015-10-27,F,13.050613423624
2015-10-26,F,13.74302340379
2015-10-23,F,13.734258720496
2015-10-22,F,13.655376570857
2015-10-21,F,13.506376954872
2015-10-20,F,13.480082904993
2015-10-19,F,13.462553538406
2015-10-16,F,13.39243607206
2015-10-15,F,13.339847972301
2015-10-14,F,13.155789623143
2015-10-13,F,13.09443684009
2015-10-12,F,13.129495573263
2015-10-09,F,13.12073088997
2015-10-08,F,13.138260256557
2015-10-07,F,12.927907857519
2015-10-06,F,12.542261792617
2015-10-05,F,12.437085593098
2015-10-02,F,12.261791927233
2015-10-01,F,11.98132206185
2015-09-30,F,11.893675228918
2015-09-29,F,11.525558530602
2015-09-28,F,11.499264480722
2015-09-25,F,11.858616495745
2015-09-24,F,11.963792695263
2015-09-23,F,11.990086745143
2015-09-22,F,12.200439144181
2015-09-21,F,12.55102647591
2015-09-18,F,12.515967742737
2015-09-17,F,12.796437608121
2015-09-16,F,12.831496341293
2015-09-15,F,12.542261792617
2015-09-14,F,12.077733578075
2015-09-11,F,12.016380795023
2015-09-10,F,12.033910161609
2015-09-09,F,11.858616495745
2015-09-08,F,11.98132206185
2015-09-04,F,11.884910545624
2015-09-03,F,12.130321677835
2015-09-02,F,12.156615727715
2015-09-01,F,12.025145478316
2015-08-31,F,12.156615727715
2015-08-28,F,12.042674844902
2015-08-27,F,11.884910545624
2015-08-26,F,11.578146630361
2015-08-25,F,11.306441448271
2015-08-24,F,11.560617263775
2015-08-21,F,12.147851044421
2015-08-20,F,12.647437992136
2015-08-19,F,12.945437224106
2015-08-18,F,12.998025323865
2015-08-17,F,12.866555074466
2015-08-14,F,12.954201907399
2015-08-13,F,12.892849124346
2015-08-12,F,12.866555074466
2015-08-11,F,12.884084441053
2015-08-10,F,13.138260256557
2015-08-07,F,12.971731273985
2015-08-06,F,12.998025323865
2015-08-05,F,12.971731273985
2015-08-04,F,13.068142790211
2015-08-03,F,13.09443684009
2015-07-31,F,12.998025323865
2015-07-30,F,13.234671772782
2015-07-29,F,13.331083289008
2015-07-28,F,12.871091482812
2015-07-27,F,12.628076943689
2015-07-24,F,12.489211492762
2015-07-23,F,12.680151487787
2015-07-22,F,12.515248764811
2015-07-21,F,12.593360580957
2015-07-20,F,12.645435125055
2015-07-17,F,12.74958421325
2015-07-16,F,12.645435125055
2015-07-15,F,12.801658757348
2015-07-14,F,12.853733301446
2015-07-13,F,12.706188759836
2015-07-10,F,12.567323308908
2015-07-09,F,12.437136948664
2015-07-08,F,12.471853311396
2015-07-07,F,12.888449664177
2015-07-06,F,12.83637512008
2015-07-02,F,12.905807845543
2015-07-01,F,13.009956933739
2015-06-30,F,13.027315115105
2015-06-29,F,13.035994205788
2015-06-26,F,13.36579965174
2015-06-25,F,13.400516014471
2015-06-24,F,13.452590558569
2015-06-23,F,13.270329654227
2015-06-22,F,13.1314642033
2015-06-19,F,13.114106021934
2015-06-18,F,13.140143293983
2015-06-17,F,13.035994205788
2015-06-16,F,13.018636024422
2015-06-15,F,13.062031477836
2015-06-12,F,13.218255110129
2015-06-11,F,13.261650563544
