None,date,ticker,adj_close
2693,2015-12-31,ABC,100.20402644346
2694,2015-12-30,ABC,101.46974117339
2695,2015-12-29,ABC,101.22819256081
2696,2015-12-28,ABC,100.66779977962
2697,2015-12-24,ABC,100.43591311154
2698,2015-12-23,ABC,100.42625116704
2699,2015-12-22,ABC,99.67261949578
2700,2015-12-21,ABC,99.411746994192
2701,2015-12-18,ABC,98.435890599361
2702,2015-12-17,ABC,98.880340046512
2703,2015-12-16,ABC,98.155694208766
2704,2015-12-15,ABC,98.252313653799
2705,2015-12-14,ABC,99.063916992074
2706,2015-12-11,ABC,98.629129489427
2707,2015-12-10,ABC,98.503524210884
2708,2015-12-09,ABC,97.266795314465
2709,2015-12-08,ABC,97.073556424399
2710,2015-12-07,ABC,96.600121143739
2711,2015-12-04,ABC,96.513163643209
2712,2015-12-03,ABC,95.373054191823
2713,2015-12-02,ABC,95.508321414869
2714,2015-12-01,ABC,96.136347807582
2715,2015-11-30,ABC,95.3054205803
2716,2015-11-27,ABC,95.643588637915
2717,2015-11-25,ABC,95.585616970895
2718,2015-11-24,ABC,95.170153357254
2719,2015-11-23,ABC,95.39237808083
2720,2015-11-20,ABC,95.749870027451
2721,2015-11-19,ABC,95.83682752798
2722,2015-11-18,ABC,96.918965312347
2723,2015-11-17,ABC,95.817503638974
2724,2015-11-16,ABC,94.010720016861
2725,2015-11-13,ABC,93.324721957129
2726,2015-11-12,ABC,93.633904181234
2727,2015-11-11,ABC,94.587092511716
2728,2015-11-10,ABC,95.193666903841
2729,2015-11-09,ABC,93.778326655549
2730,2015-11-06,ABC,93.980518119591
2731,2015-11-05,ABC,94.250106738313
2732,2015-11-04,ABC,93.84572381023
2733,2015-11-03,ABC,94.038287109317
2734,2015-11-02,ABC,94.192337748587
2735,2015-10-30,ABC,92.92141997461
2736,2015-10-29,ABC,93.219893088196
2737,2015-10-28,ABC,93.874608305093
2738,2015-10-27,ABC,93.91312096491
2739,2015-10-26,ABC,90.148508467752
2740,2015-10-23,ABC,89.667100220034
2741,2015-10-22,ABC,89.34937077654
2742,2015-10-21,ABC,89.26271729195
2743,2015-10-20,ABC,89.715241044806
2744,2015-10-19,ABC,91.265375602459
2745,2015-10-16,ABC,91.525336056227
2746,2015-10-15,ABC,90.572147725744
2747,2015-10-14,ABC,89.57081857049
2748,2015-10-13,ABC,90.649173045379
2749,2015-10-12,ABC,90.235161952342
2750,2015-10-09,ABC,89.387883436357
2751,2015-10-08,ABC,90.061854983163
2752,2015-10-07,ABC,89.484165085901
2753,2015-10-06,ABC,89.57081857049
2754,2015-10-05,ABC,91.457938901546
2755,2015-10-02,ABC,91.380913581911
2756,2015-10-01,ABC,90.995786983737
2757,2015-09-30,ABC,91.457938901546
2758,2015-09-29,ABC,91.515707891273
2759,2015-09-28,ABC,92.613318696071
2760,2015-09-25,ABC,96.127598904415
2761,2015-09-24,ABC,98.178398039696
