date,AXON,BRENT,CEG,EVO,FIVE,HWM,MBLY,NFE,NVDA,NYCB,PLTR,QXO,SEDG,SGML,TBIL,TDOC,TPL,TRGP,UAL,VST,WOLF,SP500
2024-04-25,306.24,87,187.0805359,5.099999905,150.8500061,64.6573,30.89999962,26.86611176,82.61245728,9.1642,21.70999908,89.50776672,56.61000061,14.05000019,0.0526,13.32999992,581.4783325,115.7476578,53.51,72.12049866,24.87,5048.419922
2024-04-26,308.230011,88.41999817,187.4387512,5.019999981,150.0800018,66.2538,29.20000076,26.73789787,87.71424103,8.865650177,22.52000046,92.90679169,58.20000076,14.32999992,0.0525,13.01000023,585.0632935,114.9411316,52.84000015,72.33940125,26.25,5099.959961
2024-04-29,313.2999878,88.02,187.6775818,5.199999809,147.2200012,66.96224213,28,26.53077888,87.7362442,8.328338623,22.82999992,99.97144318,60.01,14.96000004,0.0525,13.39000034,591.6734619,116.0201492,52.97000122,77.57331848,27.85000038,5116.169922
2024-04-30,313.6600037,89.01000214,185.0207672,5.190000057,146.3399963,66.60303497,27.54999924,25.84038734,86.38156128,7.910429001,21.96999931,95.37276459,58.65000153,14.36999989,0.0525,12.75,566.038269,112.9117584,51.45999908,75.46382141,27.03000069,5035.689941
2024-05-01,311.5700073,89.5,183.6475983,5.25,141.9299927,66.63296509,28.87,25.46560287,83.02135468,10.14923,22.12,94.70628357,58.09999847,14.94999981,0.0526,12.81,548.7417603,111.2783737,50.66999817,76.47877502,26.11000061,5018.390137
2024-05-02,316.75,88.4,185.2595825,5.369999886,143.4700012,76.93024445,30.5,25.51491737,85.79669952,10.05967808,22.54999924,93.17338562,59.65999985,15.35999966,0.0525,12.98999977,548.6140747,111.8525314,51.68000031,79.47383881,23.55999947,5064.200195
2024-05-03,318.5499878,87.86000061,193.8966827,5.269999981,144.8099976,78.7163,30.03000069,26.29407501,88.76799774,10.53728867,23.32999992,93.04009247,60.45000076,15.97999954,0.0525,12.77999973,551.6195679,111.1793747,51.65000153,81.08580017,25.32999992,5127.790039
2024-05-06,327.6400146,83.44000244,196.722641,5.199999809,146.0200043,80.00346375,29.85000038,25.81079865,92.11820221,10.89549732,25.20999908,98.9050827,60.06999969,16.15999985,0.0525,12.78999996,561.2647705,111.664444,53.97000122,82.82711792,25.94000053,5180.740234
2024-05-07,312.730011,83.66999817,199.568512,5.139999866,146.7400055,79.65424347,29.10000038,25.76148796,90.53257751,10.95519829,21.39999962,94.10645294,58.70999908,16.81999969,0.0525,12.88000011,559.5753784,111.6941452,52.68999863,81.33456421,24.25,5187.700195
2024-05-08,311.8599854,82.95999908,206.9717407,5.190000057,142.1000061,81.24073029,28.67000008,26.12640762,90.39061737,10.68654156,21.55999947,98.37190247,57.54999924,17.20000076,0.0525,12.19999981,553.4661865,111.3179703,53.02000046,88.75756073,24.37,5187.669922
