date,FOX,CBS,ABC
2015-07-31,32.49082141,52.04564753,101.5343926
2015-08-03,32.34542693,51.6173684,101.6016021
2015-08-04,32.37450582,51.45189692,101.9760552
2015-08-05,30.20328148,49.07689449,102.9745967
2015-08-06,28.16775866,50.8484127,100.5742565
2015-08-07,29.44723015,48.99902556,100.1998034
2015-08-10,29.21459897,49.81664935,100.4782429
2015-08-11,28.81718737,48.95035748,100.3438238
2015-08-12,28.57486322,48.83355408,100.2190061
2015-08-13,28.72995068,48.71675068,100.0173775
2015-08-14,28.99166075,47.90886051,100.0751465
2015-08-17,29.22429193,48.69728345,100.7298618
2015-08-18,29.12736228,48.03539753,101.0475912
2015-08-19,28.8947311,47.22750735,102.1933428
2015-08-20,27.79942596,44.80383684,99.52634113
2015-08-21,27.06276056,43.88887689,98.01471924
2015-08-24,26.02561321,42.7792446,94.8663093
2015-08-25,26.07407804,42.11735868,93.78795482
2015-08-26,26.64596303,43.16858927,96.86896761
2015-08-27,27.07245352,44.05434837,97.38888851
2015-08-28,27.21784801,44.57023004,97.11929989
2015-08-31,26.81074345,44.03488114,96.3201622
2015-09-01,25.94806949,42.62350674,95.5787935
2015-09-02,26.33578812,43.11018757,96.55123816
2015-09-03,26.35517405,42.64297397,96.28164954
2015-09-04,26.23885846,41.7766821,95.30920488
2015-09-08,26.93089373,42.65270759,97.29260686
2015-09-09,26.30708729,42.49643479,97.00376192
2015-09-10,26.33632822,42.91641794,98.23616703
2015-09-11,26.21936451,42.90665089,100.4602731
2015-09-14,25.99518407,42.27179264,100.7298618
2015-09-15,26.19987056,42.74061104,101.6349093
2015-09-16,26.3850631,42.56480414,102.3377653
2015-09-17,26.36556915,42.40853134,102.8095454
2015-09-18,25.76125666,41.71507078,102.1548302
2015-09-21,25.92695524,41.88111064,101.3653206
2015-09-22,25.90746129,41.58809913,99.43005948
2015-09-23,25.84897944,40.69929758,98.99679206
2015-09-24,25.55657017,39.93746767,98.17839804
2015-09-25,25.32264275,39.82026307,96.1275989
2015-09-28,24.76706514,37.76918256,92.6133187
2015-09-29,25.22517299,38.06219406,91.51570789
2015-09-30,26.3850631,38.97052972,91.4579389
2015-10-01,26.78956259,38.55054657,90.99578698
2015-10-02,27.5839411,39.36121172,91.38091358
2015-10-05,27.97382013,40.66999643,91.4579389
2015-10-06,27.73014574,40.37698493,89.57081857
2015-10-07,27.78862759,41.42205928,89.48416509
2015-10-08,28.16875964,42.83828154,90.06185498
2015-10-09,28.16875964,42.12528689,89.38788344
2015-10-12,28.11027779,41.62716733,90.23516195
2015-10-13,28.2272415,41.35368993,90.64917305
2015-10-14,28.00306106,41.44159338,89.57081857
2015-10-15,28.69509633,42.15458804,90.57214773
2015-10-16,28.90952979,42.17412214,91.52533606
2015-10-19,28.91927677,41.92017884,91.2653756
2015-10-20,29.07522838,42.92618499,89.71524104
2015-10-21,28.79256608,42.17412214,89.26271729
2015-10-22,29.32864975,42.20342329,89.34937078
2015-10-23,29.65029994,43.45360569,89.66710022
2015-10-26,29.80625155,43.32663404,90.14850847
2015-10-27,29.51384228,43.46337274,93.91312096
2015-10-28,29.64055297,44.4303107,93.87460831
2015-10-29,29.87448038,45.53398736,93.21989309
2015-10-30,30.09866082,45.43631686,92.92141997
2015-11-02,30.32284126,46.75486861,94.19233775
2015-11-03,30.70297331,47.11624946,94.03828711
2015-11-04,29.14345721,46.83300501,93.84572381
2015-11-05,29.12396326,46.65719811,94.25010674
2015-11-06,29.31890277,47.50693147,93.98051812
2015-11-09,28.94851769,47.40926097,93.77832666
2015-11-10,29.56257716,48.59107402,95.1936669
2015-11-11,29.57232414,49.13802883,94.58709251
2015-11-12,29.5869446,49.18686408,93.63390418
2015-11-13,29.26042092,48.71804567,93.32472196
2015-11-16,29.83549248,49.75335298,94.01072002
2015-11-17,29.66004692,49.59708018,95.81750364
2015-11-18,29.85498643,50.11473383,96.91896531
2015-11-19,29.55283019,50.54448403,95.83682753
2015-11-20,29.76726365,50.48588173,95.74987003
2015-11-23,29.61131204,49.79242118,95.39237808
2015-11-24,29.48460136,49.36267098,95.17015336
2015-11-25,29.55283019,49.79242118,95.58561697
2015-11-27,29.14345721,49.56777903,95.64358864
2015-11-30,29.19219209,49.30406868,95.30542058
2015-12-01,29.49434833,49.90962578,96.13634781
2015-12-02,29.19219209,48.88408552,95.50832141
2015-12-03,28.95826467,48.18085792,95.37305419
2015-12-04,29.24092696,48.84501732,96.51316364
2015-12-07,29.27016789,49.27476753,96.60012114
2015-12-08,28.75357818,48.67897747,97.07355642
2015-12-09,28.23698847,47.37995982,97.26679531
2015-12-10,28.31496428,47.54651468,98.50352421
2015-12-11,27.44748344,45.8907634,98.62912949
2015-12-14,27.29153183,45.40089615,99.06391699
2015-12-15,27.38900159,45.88096605,98.25231365
2015-12-16,27.77888062,46.53738816,98.15569421
2015-12-17,27.51571227,45.57724836,98.88034005
2015-12-18,27.12583325,44.7346767,98.4358906
2015-12-21,26.89190583,44.86204218,99.41174699
2015-12-22,26.90165281,45.66542446,99.6726195
2015-12-23,26.90165281,46.27285985,100.4262512
2015-12-24,26.84317095,46.47860409,100.4359131
2015-12-28,26.75544817,45.88096605,100.6677998
2015-12-29,26.90165281,46.33164391,101.2281926
2015-12-30,26.65797842,45.81238464,101.4697412
2015-12-31,26.54101471,46.1748864,100.2040264
2016-01-04,25.93670222,45.70461384,98.42622865
2016-01-05,25.92695524,45.18535456,99.86585839
2016-01-06,25.82948549,45.19515191,98.33927115
2016-01-07,25.2641609,44.42116166,95.19913919
2016-01-08,25.27390787,45.51846429,94.64840835
2016-01-11,25.3421367,45.83197933,90.88025
2016-01-12,25.79049758,46.0671156,90.99619333
2016-01-13,25.15694416,44.02926787,89.9913511
2016-01-14,26.09752732,45.7829926,90.55174388
2016-01-15,25.50783529,44.95021829,89.63385916
2016-01-19,25.90746129,44.47014839,89.41163443
2016-01-20,25.09846231,43.12791214,87.82707553
2016-01-21,24.97175163,44.84244749,87.50823137
2016-01-22,25.7417627,45.98873684,87.92369498
2016-01-25,25.3421367,45.35190943,88.18456748
2016-01-26,26.27784637,46.5471855,88.17490554
2016-01-27,25.90746129,46.38063064,87.13141553
2016-01-28,25.56631714,45.35190943,84.33911357
2016-01-29,26.41430402,46.53738816,86.53237497
2016-02-01,26.424051,46.9390793,85.99130608
2016-02-02,25.40061856,45.68501915,85.16037885
2016-02-03,25.82948549,47.28198637,85.01544968
2016-02-04,25.56631714,47.42894654,81.54681161
2016-02-05,24.40642704,45.31272005,81.83666994
2016-02-08,23.91907826,43.46102187,80.79317994
2016-02-09,23.59742806,41.78567589,81.88497967
2016-02-10,23.84110245,42.01101482,82.70624495
2016-02-11,24.08477684,42.68703162,81.69174078
2016-02-12,24.04578894,42.30493517,82.71590689
2016-02-16,24.9814986,44.00967318,82.71590689
2016-02-17,25.80024456,45.61643774,84.53235246
2016-02-18,25.75150968,44.86204218,84.08790301
2016-02-19,26.01467802,44.17622804,84.23340059
2016-02-22,26.61899051,45.92015543,85.06758674
2016-02-23,26.33632822,46.00833153,84.72809238
2016-02-24,26.63848446,46.51779347,84.46619673
2016-02-25,26.68721934,46.67455099,84.97058835
2016-02-26,26.51177378,47.32117575,84.91238931
2016-02-29,26.47278588,47.39955451,84.02000414
2016-03-01,27.32077276,49.231658,84.80569109
2016-03-02,26.97962861,49.13368455,84.99968786
2016-03-03,27.29153183,50.43673142,85.57197836
2016-03-04,27.28178486,50.35835266,85.3585819
2016-03-07,27.56444715,50.94619335,85.45558029
2016-03-08,27.27047864,50.14281107,85.1839848
2016-03-09,27.5154524,51.19112697,84.94148883
2016-03-10,27.4174629,50.8767093,83.59321123
2016-03-11,27.62324085,52.1933333,86.86205692
2016-03-14,27.5742461,52.37019324,85.31978255
2016-03-15,27.54974873,51.67257903,83.7096093
2016-03-16,27.64283875,53.49030619,84.45649689
2016-03-17,27.64283875,53.3036207,83.30221606
