date,AAPL,AMZN,FB,GOOG,NFLX
2016-03-09,98.222859394068,559.47,107.51,705.24,98.0
2016-03-10,98.271426868057,558.93,107.32,712.82,97.36
2016-03-11,99.330197801003,569.61,109.41,726.82,97.66
2016-03-14,99.582748665742,573.37,109.89,730.49,98.13
2016-03-15,101.58372859406,577.02,110.67,728.33,97.86
2016-03-16,102.93390437094,574.27,112.18,736.09,99.35
2016-03-17,102.76877495938,559.44,111.02,737.78,99.72
2016-03-18,102.88533689695,552.08,111.45,737.6,101.12
2016-03-21,102.87562340215,553.98,111.85,742.09,101.06
2016-03-22,103.66241648076999,560.48,112.25,740.75,99.84
2016-03-23,103.0893202877,569.63,112.54,738.06,99.59
2016-03-24,102.64249952701,582.95,113.05,735.3,98.36
2016-03-28,102.17625177672,579.87,113.69,733.53,101.21
2016-03-29,104.59491198134,593.86,116.14,744.77,104.13
2016-03-30,106.4210490033,598.69,114.7,750.53,102.19
2016-03-31,105.86737979984001,593.64,114.1,744.95,102.23
2016-04-01,106.83872927959999,598.5,116.06,749.91,105.7
2016-04-04,107.93635419174,593.19,112.55,745.29,104.35
2016-04-05,106.66388637325001,586.14,112.22,737.8,104.94
2016-04-06,107.78093827498002,602.08,113.71,745.69,104.83
2016-04-07,105.43027253394001,591.43,113.64,740.28,104.45
2016-04-08,105.54683447151,594.6,110.63,739.15,103.81
2016-04-11,105.89652028423001,595.93,108.99,736.1,102.68
2016-04-12,107.2758365455,603.17,110.61,743.09,106.98
2016-04-13,108.82999571313,614.82,110.51,751.72,109.65
2016-04-14,108.88827668191,620.75,110.84,753.2,110.42
2016-04-15,106.70274035243999,625.89,109.64,759.0,111.51
2016-04-18,104.40064208538999,635.35,110.45,766.61,108.4
2016-04-19,103.84697288192,627.9,112.29,753.93,94.34
2016-04-20,104.06066976747,632.99,112.42,752.67,96.77
2016-04-21,102.93390437094,631.0,113.44,759.14,94.98
2016-04-22,102.65221302181,620.5,110.56,718.77,95.9
2016-04-25,102.06940333395,626.2,110.1,723.15,93.56
2016-04-26,101.36031821371999,616.88,108.76,708.14,92.43
2016-04-27,95.01740611083599,606.57,108.89,705.84,91.04
2016-04-28,92.11307116633199,602.0,116.73,691.02,90.28
2016-04-29,91.054300233386,659.59,117.58,693.01,90.03
2016-05-02,90.95716528540899,683.85,118.57,698.21,93.11
2016-05-03,92.453043484251,671.32,117.43,692.36,91.54
2016-05-04,91.49140749928101,670.9,118.06,695.7,90.79
2016-05-05,91.12229469696899,659.09,117.81,701.43,89.37
2016-05-06,90.614105151255,673.95,119.49,711.12,90.84
2016-05-09,90.682515282409,679.75,119.24,712.9,90.54
2016-05-10,91.298206462794,703.07,120.5,723.18,92.89
2016-05-11,90.408874757793,713.23,119.52,715.29,90.02
2016-05-12,88.28816069202298,717.93,120.28,713.31,87.74
2016-05-13,88.46407245784701,709.92,119.81,710.83,87.88
2016-05-16,91.747758753233,710.66,118.67,716.49,89.12
2016-05-17,91.36661659394699,695.27,117.35,706.23,88.63
2016-05-18,92.412314313014,697.45,117.65,706.63,90.5
2016-05-19,92.06049078136499,698.52,116.81,700.32,89.55
2016-05-20,93.05732412103599,702.8,117.35,709.74,92.49
2016-05-23,94.23984210241,696.75,115.97,704.24,94.89
2016-05-24,95.676454856642,704.2,117.7,720.09,97.89
2016-05-25,97.357389507852,708.35,117.89,725.27,100.2
2016-05-26,98.12944670230301,714.91,119.47,724.12,102.81
2016-05-27,98.07080944702801,712.24,119.38,732.66,103.3
2016-05-31,97.59193852895099,722.79,118.81,735.72,102.57
2016-06-01,96.223735905873,719.44,118.78,734.15,101.51
2016-06-02,95.500543090818,728.24,118.93,730.4,101.25
2016-06-03,95.6960006084,725.54,118.47,722.34,99.59
2016-06-06,96.389874795818,726.73,118.79,716.55,100.74
2016-06-07,96.78078983098301,723.74,117.76,716.65,99.89
2016-06-08,96.692833948071,726.64,118.39,728.28,97.86
2016-06-09,97.386708135489,727.65,118.56,728.58,97.09
2016-06-10,96.585332313401,717.91,116.62,719.41,93.75
2016-06-13,95.12917380741101,715.24,113.95,718.36,93.85
2016-06-14,95.24644831796,719.3,114.94,718.27,94.12
2016-06-15,94.933716289828,714.26,114.6,718.92,94.29
2016-06-16,95.334404200873,717.51,114.39,710.36,95.44
2016-06-17,93.164825755707,706.39,113.02,691.72,94.45
2016-06-20,92.94004961048701,714.01,113.37,693.71,93.8
2016-06-21,93.73165255669599,715.82,114.38,695.94,90.99
2016-06-22,93.379829025047,710.6,113.91,697.46,90.01
2016-06-23,93.917337198399,722.08,115.08,701.87,91.66
2016-06-24,91.278660711035,698.96,112.08,675.22,88.44
2016-06-27,89.949549591474,691.36,108.97,668.26,85.33
2016-06-28,91.46434535273899,707.95,112.7,680.04,87.97
2016-06-29,92.255948298948,715.6,114.16,684.11,91.06
2016-06-30,93.428693404443,715.62,114.28,692.1,91.48
2016-07-01,93.71210680493799,725.68,114.19,699.21,96.67
2016-07-05,92.832547975816,728.1,114.0,694.49,97.91
2016-07-06,93.360283273289,737.61,116.7,697.77,94.6
2016-07-07,93.760971184333,736.57,115.85,695.36,95.1
2016-07-08,94.484163999389,745.81,117.24,705.63,97.06
2016-07-11,94.777350275762,753.78,117.87,715.09,94.67
2016-07-12,95.20735681444401,748.21,117.93,720.64,95.97
2016-07-13,94.66984864109199,742.63,116.78,716.98,96.43
2016-07-14,96.546240809884,741.2,117.29,720.95,98.02
2016-07-15,96.53646793400499,735.44,116.86,719.85,98.39
2016-07-18,97.562619901313,736.07,119.37,733.78,98.81
2016-07-19,97.60171140483,739.95,120.61,736.96,85.84
2016-07-20,97.689667287742,745.72,121.92,741.19,87.91
2016-07-21,97.17170486614799,744.43,120.61,738.63,85.99
2016-07-22,96.41919342345601,744.86,121.0,742.74,85.89
2016-07-25,95.12917380741101,739.61,121.63,739.77,87.66
2016-07-26,94.47439112351,735.59,121.22,738.42,91.41
2016-07-27,100.61175717559999,736.67,123.34,741.77,92.04
2016-07-28,101.97018692280001,752.61,125.0,745.91,91.65
2016-07-29,101.84313953636999,758.81,123.94,768.79,91.25
2016-08-01,103.64134869813,767.74,124.31,772.88,94.37
2016-08-02,102.10700718510999,760.58,123.09,771.07,93.56
2016-08-03,103.38725392527,754.64,122.51,773.18,93.1
2016-08-04,104.02249085741998,760.77,124.36,771.61,93.44
2016-08-05,105.60439517668001,765.98,125.15,782.22,97.03
2016-08-08,106.47886402396999,766.56,125.26,781.76,95.11
2016-08-09,106.91118570129,768.31,125.06,784.26,93.99
