Dates,ticker,return,momentum,dividend_yield,Industrials,United States,market_intercept,Healthcare,Technology,Utilities,Financial Services,Basic Materials,Consumer Defensive,Ireland,Energy,Communication Services,Consumer Cyclical,value,size,trading_activity,growth,leverage,profitability
2021-05-31,DIS,-0.001128228,0.482479164,-0.41661155,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.592086664,0.303317438,-0.243705458,-0.477006918,-0.401286588,-1.531238071
2021-06-07,DIS,0.028361001,0.115439464,-0.412378275,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.598819059,0.298204578,-0.319432033,-0.4766804,-0.394698546,-1.530285028
2021-06-14,DIS,-0.033814596,0.110623755,-0.426252868,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.586959566,0.342507447,-0.555235228,-0.419694502,-0.440651972,-1.517074134
2021-06-21,DIS,0.006976934,0.422588104,-0.433239415,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.561981506,0.271984016,-0.288809364,-0.484684508,-0.340099023,-1.505738398
2021-06-28,DIS,0.000395354,0.298775553,-0.40876098,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.607896895,0.300271664,-0.373965612,-0.479586496,-0.394698546,-1.530983701
2021-07-05,DIS,-0.01274048,0.29396652,-0.405264239,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.661194833,0.29029015,0.053063011,-0.48054148,-0.381982165,-1.538738484
2021-07-12,DIS,0.017837008,0.300726048,-0.403262031,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.649112191,0.293433606,-0.25576482,-0.480167857,-0.420670044,-0.733412249
2021-07-19,DIS,0.000681481,0.324008357,-0.39846651,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.65165299,0.299305224,0.508384634,-0.481819176,-0.420670044,-0.724686446
2021-07-26,DIS,-0.006286305,0.159064093,-0.397188658,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.632275875,0.28844128,-0.299958489,-0.48272227,-0.420670044,-0.724539887
2021-08-02,DIS,-0.022054979,-0.024464318,-0.394651883,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.62743849,0.283444031,-0.53541807,-0.489767018,-0.420670044,-0.665378565
2021-08-09,DIS,0.033467507,0.224343148,-0.377956509,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.582389301,0.247389464,-0.305087475,-0.531214706,-0.372945803,-0.717196909
2021-08-16,DIS,-0.028262898,0.329339075,-0.383897492,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.635420481,0.282147952,0.897417353,-0.491221454,-0.415095337,-0.711327097
2021-08-23,DIS,-0.004762708,0.348868355,-0.39270635,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.613311656,0.276558462,-0.274808408,-0.490336824,-0.415095337,-0.73010705
2021-08-30,DIS,-0.017090661,0.249704451,-0.389776798,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.631412293,0.280499973,-0.287255501,-0.490572471,-0.415095337,-0.73010705
